year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
India,3480,India,5110,India,4420,Vanuata,280,India,1350
China,1170,China,820,Australia,830,Tonga,200,China,1070
Philippines,1360,Philippines,1810,Philippines,1800,Afghanistan,140,Philippines,1700
Malaysia,1100,Nepal,780,Australia,2050,Australia,350,Bhatan,530
South Africa,760,South Africa,1060,South Africa,1180,South Africa,360,South Africa,900
