year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
India,5260,India,7680,India,6380,Tonga,650,India,2720
China,5520,China,2360,Australia,4340,Australia,540,China,1400
Philippines,2220,Philippines,3690,Philippines,2580,Solomon island,540,Philippines,2080
Nepal,1550,Nepal,2260,Nepal,1160,Vanuata,410,New Zealand,2110
Brazil,1620,UK,1470,UK,2270,South Africa,490,HongKong,1310
