year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
India,3570,India,4860,India,5240,Tonga,270,India,3140
China,1920,China,1400,Australia,1410,Australia,450,China,1070
Philippines,700,Philippines,930,Philippines,890,Afghanistan,190,Philippines,690
Nepal,740,Nepal,890,Nepal,860,Vanuata,190,Nepal,780
Vietnam,540,Vietnam,640,Vietnam,720,Kiribati,130,HongKong,770
