year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
China,17090,China,6520,Australia,5620,Australia,8270,China,6070
India,18530,India,21970,India,17610,New Zealand,1930,India,13160
Nepal,14220,Nepal,15260,Nepal,7660,Solomon island,1000,Nepal,14530
Philippines,4380,Philippines,6260,Philippines,5150,UK,930,Philippines,3780
Brazil,3330,Iraq,4070,Iraq,3960,HongKong,1110,HongKong,2980
