year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
India,330,India,670,India,490,Samoa,80,India,490
China,700,China,600,Timor-leste,370,Timor-leste,110,China,190
Philippines,110,Philippines,150,Tonga,580,Tonga,150,Samoa,630
Nepal,130,Nepal,220,Australia,490,Australia,40,Nepal,630
Vietnam,100,Parkistan,150,Vanuata,190,Vanuata,150,Vanuata,380
