year1,var1,year2,var2,year3,var3,year4,var4,year5,var5
India,310,India,290,India,380,Vanuata,180,India,230
China,160,Sri Lanka,130,South Africa,70,South Africa,80,Vanuata,200
Philippines,300,Philippines,340,Philippines,200,Philippines,10,Philippines,150
Nepal,170,Nepal,210,Nepal,170,USA,10,Nepal,150
Indonesia,120,Indonesia,170,Vietnam,80,Nepal,10,Afghanistan,760
